Year,State_Code,State_Name,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation,Category,Demographic,Lat,Long
2013,US,National,28.8,28.1,29.5,62562.0,,Income,"$50,000 - $74,999",,
2012,DC,District of Columbia,31.6,24.0,40.4,243.0,"(38.890371385, -77.031961127)",Education,Less than high school,38.890371385, -77.031961127
2011,AL,Alabama,35.2,30.7,40.0,598.0,"(32.840571122, -86.631860762)",Age (years),25 - 34,32.840571122, -86.631860762
2011,US,National,35.4,33.0,37.9,6649.0,,Race/Ethnicity,American Indian/Alaska Native,,
2011,RI,Rhode Island,32.1,21.6,44.8,109.0,"(41.708280193, -71.522470314)",Race/Ethnicity,Other,41.708280193, -71.522470314
2013,US,National,31.5,30.5,32.5,27737.0,,Race/Ethnicity,Hispanic,,
2014,US,National,32.2,31.5,33.0,62892.0,,Income,"$15,000 - $24,999",,
2016,NY,New York,25.9,24.5,27.3,14316.0,"(42.827001032, -75.543970427)",Gender,Male,42.827001032, -75.543970427
2016,RI,Rhode Island,20.1,17.9,22.4,2071.0,"(41.708280193, -71.522470314)",Education,College graduate,41.708280193, -71.522470314
2016,CA,California,36.0,32.9,39.2,1256.0,"(37.638640123, -120.999999538)",Education,Less than high school,37.638640123, -120.999999538
2016,WA,Washington,29.1,28.0,30.2,10788.0,"(47.522278629, -120.47001079)",Race/Ethnicity,Non-Hispanic White,47.522278629, -120.47001079
2016,NH,New Hampshire,26.6,24.4,28.9,2732.0,"(43.655950113, -71.50036092)",Gender,Male,43.655950113, -71.50036092
2016,NM,New Mexico,28.3,26.6,30.1,5531.0,"(34.520880952, -106.240580985)",Total,Total,34.520880952, -106.240580985
2012,NJ,New Jersey,25.0,22.0,28.4,1533.0,"(40.130570048, -74.273691288)",Income,"$35,000 - $49,999",40.130570048, -74.273691288
2015,US,National,29.1,28.7,29.5,176407.0,,Gender,Male,,
2017,HI,Hawaii,25.1,23.2,27.1,3529.0,"(21.304850435, -157.857749403)",Gender,Male,21.304850435, -157.857749403
2011,US,National,32.3,31.4,33.2,49598.0,,Income,"Less than $15,000",,
2015,SD,South Dakota,35.8,30.5,41.5,742.0,"(44.353130053, -100.373530637)",Age (years),35 - 44,44.353130053, -100.373530637
2016,NH,New Hampshire,26.6,25.0,28.2,5888.0,"(43.655950113, -71.50036092)",Total,Total,43.655950113, -71.50036092
2016,OK,Oklahoma,33.3,30.9,35.6,2710.0,"(35.472031356, -97.521070214)",Gender,Male,35.472031356, -97.521070214
2016,MS,Mississippi,41.9,37.6,46.3,964.0,"(32.745510099, -89.538030825)",Income,"$15,000 - $24,999",32.745510099, -89.538030825
2016,KS,Kansas,30.5,29.4,31.7,9541.0,"(38.3477403, -98.200781227)",Race/Ethnicity,Non-Hispanic White,38.3477403, -98.200781227
2016,FL,Florida,26.6,25.2,28.1,18545.0,"(28.932040377, -81.928960539)",Gender,Female,28.932040377, -81.928960539
2016,LA,Louisiana,36.6,29.9,43.8,474.0,"(31.312660644, -92.445680071)",Income,"$25,000 - $34,999",31.312660644, -92.445680071
2016,NJ,New Jersey,29.2,25.9,32.7,1814.0,"(40.130570048, -74.273691288)",Education,High school graduate,40.130570048, -74.273691288
2017,MT,Montana,27.2,25.0,29.5,2658.0,"(47.066528972, -109.424420645)",Gender,Male,47.066528972, -109.424420645
2014,US,National,35.2,34.2,36.2,39123.0,,Income,"Less than $15,000",,
2012,US,National,29.7,27.6,31.9,8459.0,,Race/Ethnicity,2 or more races,,
