DATE,RSGCS
1992-01-01,27835
1992-02-01,27720
1992-03-01,27848
1992-04-01,27867
1992-05-01,27987
1992-06-01,28011
1992-07-01,28183
1992-08-01,28222
1992-09-01,28122
1992-10-01,28328
1992-11-01,28184
1992-12-01,28233
1993-01-01,28220
1993-02-01,28419
1993-03-01,28307
1993-04-01,28367
1993-05-01,28386
1993-06-01,28377
1993-07-01,28554
1993-08-01,28357
1993-09-01,28478
1993-10-01,28618
1993-11-01,28625
1993-12-01,28773
1994-01-01,28722
1994-02-01,28923
1994-03-01,28914
1994-04-01,29111
1994-05-01,29025
1994-06-01,29311
1994-07-01,29149
1994-08-01,29410
1994-09-01,29545
1994-10-01,29343
1994-11-01,29520
1994-12-01,29443
1995-01-01,29791
1995-02-01,29604
1995-03-01,29619
1995-04-01,29499
1995-05-01,29763
1995-06-01,29812
1995-07-01,29675
1995-08-01,29721
1995-09-01,29735
1995-10-01,29692
1995-11-01,29858
1995-12-01,29994
1996-01-01,30105
1996-02-01,29990
1996-03-01,30125
1996-04-01,30220
1996-05-01,30245
1996-06-01,30288
1996-07-01,30493
1996-08-01,30555
1996-09-01,30565
1996-10-01,30766
1996-11-01,30768
1996-12-01,30879
1997-01-01,31030
1997-02-01,30991
1997-03-01,31109
1997-04-01,31065
1997-05-01,30987
1997-06-01,30804
1997-07-01,31022
1997-08-01,31160
1997-09-01,31171
1997-10-01,31225
1997-11-01,31125
1997-12-01,31063
1998-01-01,30989
1998-02-01,30915
1998-03-01,31123
1998-04-01,31169
1998-05-01,31358
1998-06-01,31435
1998-07-01,31673
1998-08-01,31744
1998-09-01,31702
1998-10-01,31864
1998-11-01,31920
1998-12-01,32291
1999-01-01,32225
1999-02-01,32465
1999-03-01,32419
1999-04-01,32700
1999-05-01,32776
1999-06-01,32633
1999-07-01,32891
1999-08-01,32878
1999-09-01,33121
1999-10-01,32968
1999-11-01,32972
1999-12-01,34270
2000-01-01,32239
2000-02-01,32567
2000-03-01,33117
2000-04-01,33541
2000-05-01,33221
2000-06-01,33644
2000-07-01,33479
2000-08-01,33554
2000-09-01,33729
2000-10-01,33867
2000-11-01,34071
2000-12-01,34558
2001-01-01,34229
2001-02-01,34602
2001-03-01,34477
2001-04-01,34727
2001-05-01,34781
2001-06-01,34866
2001-07-01,34792
2001-08-01,35043
2001-09-01,35152
2001-10-01,35270
2001-11-01,35414
2001-12-01,35208
2002-01-01,35130
2002-02-01,35114
2002-03-01,35160
2002-04-01,34827
2002-05-01,34941
2002-06-01,34933
2002-07-01,35044
2002-08-01,34874
2002-09-01,34865
2002-10-01,34990
2002-11-01,35157
2002-12-01,35257
2003-01-01,35669
2003-02-01,35570
2003-03-01,35549
2003-04-01,35638
2003-05-01,35225
2003-06-01,35676
2003-07-01,35957
2003-08-01,35890
2003-09-01,35918
2003-10-01,35763
2003-11-01,35679
2003-12-01,35808
2004-01-01,36402
2004-02-01,35890
2004-03-01,36365
2004-04-01,36312
2004-05-01,36528
2004-06-01,36508
2004-07-01,36526
2004-08-01,36680
2004-09-01,36951
2004-10-01,37078
2004-11-01,37286
2004-12-01,37423
2005-01-01,37628
2005-02-01,37553
2005-03-01,37645
2005-04-01,38049
2005-05-01,37908
2005-06-01,38143
2005-07-01,37960
2005-08-01,38320
2005-09-01,38577
2005-10-01,38559
2005-11-01,38508
2005-12-01,38847
2006-01-01,38254
2006-02-01,38889
2006-03-01,38866
2006-04-01,38891
2006-05-01,39242
2006-06-01,39372
2006-07-01,39411
2006-08-01,39705
2006-09-01,39356
2006-10-01,40002
2006-11-01,39989
2006-12-01,40153
2007-01-01,40253
2007-02-01,40646
2007-03-01,40572
2007-04-01,40416
2007-05-01,40740
2007-06-01,40870
2007-07-01,41044
2007-08-01,40954
2007-09-01,41095
2007-10-01,41379
2007-11-01,41868
2007-12-01,41998
2008-01-01,42159
2008-02-01,42016
2008-03-01,42168
2008-04-01,42584
2008-05-01,42549
2008-06-01,42683
2008-07-01,42899
2008-08-01,43063
2008-09-01,42834
2008-10-01,42768
2008-11-01,42496
2008-12-01,42136
2009-01-01,42771
2009-02-01,42101
2009-03-01,42069
2009-04-01,42288
2009-05-01,42300
2009-06-01,42530
2009-07-01,42480
2009-08-01,42401
2009-09-01,42691
2009-10-01,42763
2009-11-01,42808
2009-12-01,43192
2010-01-01,43028
2010-02-01,43735
2010-03-01,43304
2010-04-01,43142
2010-05-01,43266
2010-06-01,42963
2010-07-01,43011
2010-08-01,43258
2010-09-01,43646
2010-10-01,43493
2010-11-01,44077
2010-12-01,44184
2011-01-01,44684
2011-02-01,44912
2011-03-01,45068
2011-04-01,45769
2011-05-01,45321
2011-06-01,45791
2011-07-01,45842
2011-08-01,46034
2011-09-01,45840
2011-10-01,46047
2011-11-01,46185
2011-12-01,46035
2012-01-01,46248
2012-02-01,46353
2012-03-01,46753
2012-04-01,46927
2012-05-01,46828
2012-06-01,46842
2012-07-01,46910
2012-08-01,47059
2012-09-01,47179
2012-10-01,47449
2012-11-01,47263
2012-12-01,47142
2013-01-01,47237
2013-02-01,47677
2013-03-01,47624
2013-04-01,47307
2013-05-01,47799
2013-06-01,47792
2013-07-01,48101
2013-08-01,48135
2013-09-01,48291
2013-10-01,48444
2013-11-01,48493
2013-12-01,48986
2014-01-01,49128
2014-02-01,49158
2014-03-01,49246
2014-04-01,49591
2014-05-01,49771
2014-06-01,50148
2014-07-01,50370
2014-08-01,50506
2014-09-01,50728
2014-10-01,50941
2014-11-01,50964
2014-12-01,51190
2015-01-01,51233
2015-02-01,51321
2015-03-01,51272
2015-04-01,51135
2015-05-01,51241
2015-06-01,51455
2015-07-01,51573
2015-08-01,51578
2015-09-01,51420
2015-10-01,51231
2015-11-01,51599
2015-12-01,51333
2016-01-01,51655
2016-02-01,51530
2016-03-01,51129
2016-04-01,51786
2016-05-01,51962
2016-06-01,52332
2016-07-01,51979
2016-08-01,52265
2016-09-01,52454
2016-10-01,52813
2016-11-01,52825
2016-12-01,53149
2017-01-01,53298
2017-02-01,53608
2017-03-01,54096
2017-04-01,54177
2017-05-01,54297
2017-06-01,54137
2017-07-01,54184
2017-08-01,54430
2017-09-01,55022
2017-10-01,55168
2017-11-01,55332
2017-12-01,55884
2018-01-01,55465
2018-02-01,55520
2018-03-01,55631
2018-04-01,55999
2018-05-01,55953
2018-06-01,55828
2018-07-01,56158
2018-08-01,56007
2018-09-01,56203
2018-10-01,56414
2018-11-01,56478
2018-12-01,56359
2019-01-01,57299
2019-02-01,55865
2019-03-01,57045
2019-04-01,57255
2019-05-01,57417
2019-06-01,57849
2019-07-01,58581
2019-08-01,58549
2019-09-01,58117
2019-10-01,58172
2019-11-01,58406
2019-12-01,58877
2020-01-01,58546
2020-02-01,58441
2020-03-01,75026
2020-04-01,65033
2020-05-01,65931
2020-06-01,64685
2020-07-01,64944
2020-08-01,63861
2020-09-01,63823
2020-10-01,63383
2020-11-01,64371
2020-12-01,63775
2021-01-01,64656
2021-02-01,64290
2021-03-01,64605
2021-04-01,65200
2021-05-01,65997
